sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-syn0	14	4	10	0	0	0	0s 133ms	6s 254ms	ok
pr-syn1	14	4	14	0	0	0	0s 147ms	8s 687ms	ok
