sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-2780	3	1	4	0	0	0	0s 44ms	3s 180ms	ok
pr-2783	3	1	3	0	0	0	0s 43ms	2s 926ms	ok
pr-2784	3	1	4	0	0	0	0s 50ms	2s 936ms	ok
pr-2785	3	0	4	0	0	0	0s 43ms	3s 126ms	ok
pr-2787	3	1	3	0	0	0	0s 39ms	3s 43ms	ok
pr-2788	3	0	4	0	0	0	0s 40ms	3s 191ms	ok
pr-2791	3	1	4	0	0	0	0s 42ms	3s 365ms	ok
pr-2813	3	0	4	0	0	0	0s 46ms	2s 839ms	ok
