sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-1244	5	1	3	0	0	0	0s 69ms	2s 318ms	ok
pr-1247	5	2	3	0	0	0	0s 69ms	2s 435ms	ok
pr-1251	5	1	4	1	1	2	0s 79ms	2s 420ms	ok
pr-1254	5	1	4	12	7	19	?	2s 864ms	ok
pr-1256	5	1	4	2	3	5	0s 85ms	2s 311ms	ok
pr-1257	5	1	3	2	3	5	0s 205ms	2s 286ms	ok
pr-1258	5	2	3	2	3	5	0s 205ms	2s 404ms	ok
pr-1259	5	2	3	34	13	47	0s 338ms	2s 369ms	ok
pr-1260	5	1	4	12	10	22	0s 251ms	2s 379ms	ok
