sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-15408	250	39	157	13	49	62	5s 364ms	2m 2s 249ms	ok
pr-15409	250	38	142	13	49	62	5s 639ms	1m 48s 365ms	ok
pr-15412	250	37	146	0	0	0	4s 171ms	1m 51s 681ms	ok
pr-15418	250	39	144	1	3	4	6s 14ms	1m 48s 629ms	ok
pr-15420	250	67	144	1821	1020	2841	?	1m 48s 76ms	ok
pr-15421	250	159	146	1764	1014	2778	2m 5s 511ms	1m 52s 526ms	ok
pr-15423	250	67	147	1916	1022	2938	?	1m 49s 287ms	ok
pr-15427	250	69	148	1508	1018	2526	?	1m 54s 428ms	ok
pr-15433	250	153	140	1506	1018	2524	2m 0s 356ms	1m 46s 628ms	ok
