sample	store_s	inc_s	scratch_s	body_dirty	callers	total_dirty	inc_seg	scr_seg	status
pr-syn0	24	2	20	0	0	0	0s 36ms	18s 406ms	ok
pr-syn1	24	2	20	0	0	0	0s 41ms	18s 418ms	ok
